Scaffold_name	Bin_name	Pfam	domain_name	Abundance
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF21075	Glutamate dehydrogenase, ACT1 domain	1
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF21077	Glutamate dehydrogenase, ACT3 domain	1
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF21078	Glutamate dehydrogenase, helical motif 3	1
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF21076	Glutamate dehydrogenase, ACT2 domain	1
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF21079	Glutamate dehydrogenase, helical motif 2	1
5mSIPHEX1_25_scaffold_188_c1_32	5mSIPHEX1_25	PF05088	Bacterial NAD-glutamate dehydrogenase, catalytic domain	1
5mSIPHEX1_25_scaffold_42_c1_103	5mSIPHEX1_25	PF02628	Cytochrome oxidase assembly protein	1
5mSIPHEX1_25_scaffold_56_c1_130	5mSIPHEX1_25	PF00394	Multicopper oxidase	3
5mSIPHEX1_25_scaffold_56_c1_130	5mSIPHEX1_25	PF07731	Multicopper oxidase	3
5mSIPHEX1_25_scaffold_56_c1_130	5mSIPHEX1_25	PF07732	Multicopper oxidase	3
5mSIPHEX1_25_scaffold_5_c1_498	5mSIPHEX1_25	PF01339	CheB methylesterase	2
5mSIPHEX1_25_scaffold_5_c1_229	5mSIPHEX1_25	PF04952	Succinylglutamate desuccinylase / Aspartoacylase family	3
5mSIPHEX1_25_scaffold_142_c1_11	5mSIPHEX1_25	PF02583	Metal-sensitive transcriptional repressor	2
5mSIPHEX1_25_scaffold_142_c1_10	5mSIPHEX1_25	PF01610	Transposase	11
5mSIPHEX1_25_scaffold_142_c1_10	5mSIPHEX1_25	PF14690	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	5
5mSIPHEX1_25_scaffold_142_c1_10	5mSIPHEX1_25	PF13542	Helix-turn-helix domain of transposase family ISL3	2
5mSIPHEX1_25_scaffold_42_c1_71	5mSIPHEX1_25	PF13531	Bacterial extracellular solute-binding protein	2
5mSIPHEX1_25_scaffold_13_c1_355	5mSIPHEX1_25	PF05221	S-adenosyl-L-homocysteine hydrolase	1
5mSIPHEX1_25_scaffold_13_c1_355	5mSIPHEX1_25	PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	1
5mSIPHEX1_25_scaffold_115_c1_61	5mSIPHEX1_25	PF06508	Queuosine biosynthesis protein QueC	1
5mSIPHEX1_25_scaffold_13_c1_257	5mSIPHEX1_25	PF02566	OsmC-like protein	4
5mSIPHEX1_25_scaffold_13_c1_232	5mSIPHEX1_25	PF04960	Glutaminase	1
5mSIPHEX1_25_scaffold_5_c1_520	5mSIPHEX1_25	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2
5mSIPHEX1_25_scaffold_5_c1_128	5mSIPHEX1_25	PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	2
5mSIPHEX1_25_scaffold_5_c1_128	5mSIPHEX1_25	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	2
5mSIPHEX1_25_scaffold_5_c1_128	5mSIPHEX1_25	PF00378	Enoyl-CoA hydratase/isomerase	8
5mSIPHEX1_25_scaffold_5_c1_301	5mSIPHEX1_25	PF07715	TonB-dependent Receptor Plug Domain	13
5mSIPHEX1_25_scaffold_5_c1_301	5mSIPHEX1_25	PF00593	TonB dependent receptor	13
5mSIPHEX1_25_scaffold_13_c1_118	5mSIPHEX1_25	PF11638	DnaA N-terminal domain	1
5mSIPHEX1_25_scaffold_13_c1_118	5mSIPHEX1_25	PF00308	Bacterial dnaA  protein	2
5mSIPHEX1_25_scaffold_13_c1_118	5mSIPHEX1_25	PF08299	Bacterial dnaA protein helix-turn-helix	1
5mSIPHEX1_25_scaffold_1048_c1_11	5mSIPHEX1_25	PF13333	Integrase core domain	6
5mSIPHEX1_25_scaffold_13_c1_88	5mSIPHEX1_25	PF13036	Peptidoglycan-synthase activator LpoB	1
5mSIPHEX1_25_scaffold_74_c1_22	5mSIPHEX1_25	PF09335	SNARE associated Golgi protein	2
5mSIPHEX1_25_scaffold_74_c1_22	5mSIPHEX1_25	PF07992	Pyridine nucleotide-disulphide oxidoreductase	16
5mSIPHEX1_25_scaffold_74_c1_22	5mSIPHEX1_25	PF02852	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain	4
5mSIPHEX1_25_scaffold_142_c1_39	5mSIPHEX1_25	PF12625	Arabinose-binding domain of AraC transcription regulator, N-term	14
5mSIPHEX1_25_scaffold_142_c1_39	5mSIPHEX1_25	PF12833	Helix-turn-helix domain	18
5mSIPHEX1_25_scaffold_13_c1_48	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_13_c1_382	5mSIPHEX1_25	PF01597	Glycine cleavage H-protein	1
5mSIPHEX1_25_scaffold_42_c1_214	5mSIPHEX1_25	PF02424	ApbE family	2
5mSIPHEX1_25_scaffold_127_c1_20	5mSIPHEX1_25	PF14246	AefR-like transcriptional repressor, C-terminal domain	2
5mSIPHEX1_25_scaffold_127_c1_20	5mSIPHEX1_25	PF00440	Bacterial regulatory proteins, tetR family	20
5mSIPHEX1_25_scaffold_46_c1_59	5mSIPHEX1_25	PF00392	Bacterial regulatory proteins, gntR family	4
5mSIPHEX1_25_scaffold_46_c1_59	5mSIPHEX1_25	PF07729	FCD domain	4
5mSIPHEX1_25_scaffold_286_c1_27	5mSIPHEX1_25	PF01545	Cation efflux family	9
5mSIPHEX1_25_scaffold_56_c1_54	5mSIPHEX1_25	PF07690	Major Facilitator Superfamily	12
5mSIPHEX1_25_scaffold_74_c1_126	5mSIPHEX1_25	PF13180	PDZ domain	5
5mSIPHEX1_25_scaffold_74_c1_126	5mSIPHEX1_25	PF03572	Peptidase family S41	2
5mSIPHEX1_25_scaffold_5_c1_44	5mSIPHEX1_25	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	24
5mSIPHEX1_25_scaffold_5_c1_44	5mSIPHEX1_25	PF02770	Acyl-CoA dehydrogenase, middle domain	22
5mSIPHEX1_25_scaffold_5_c1_44	5mSIPHEX1_25	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	21
5mSIPHEX1_25_scaffold_42_c1_200	5mSIPHEX1_25	PF07484	Phage Tail Collar Domain	3
5mSIPHEX1_25_scaffold_352_c1_18	5mSIPHEX1_25	PF13511	Domain of unknown function (DUF4124)	5
5mSIPHEX1_25_scaffold_13_c1_25	5mSIPHEX1_25	PF03372	Endonuclease/Exonuclease/phosphatase family	4
5mSIPHEX1_25_scaffold_42_c1_235	5mSIPHEX1_25	PF01565	FAD binding domain	4
5mSIPHEX1_25_scaffold_42_c1_235	5mSIPHEX1_25	PF02873	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain	1
5mSIPHEX1_25_scaffold_5_c1_525	5mSIPHEX1_25	PF00075	RNase H	1
5mSIPHEX1_25_scaffold_127_c1_61	5mSIPHEX1_25	PF01077	Nitrite and sulphite reductase 4Fe-4S domain	3
5mSIPHEX1_25_scaffold_127_c1_61	5mSIPHEX1_25	PF03460	Nitrite/Sulfite reductase ferredoxin-like half domain	3
5mSIPHEX1_25_scaffold_13_c1_42	5mSIPHEX1_25	PF03652	Holliday junction resolvase	1
5mSIPHEX1_25_scaffold_42_c1_202	5mSIPHEX1_25	PF07484	Phage Tail Collar Domain	3
5mSIPHEX1_25_scaffold_57_c1_2	5mSIPHEX1_25	PF09834	Predicted membrane protein (DUF2061)	1
5mSIPHEX1_25_scaffold_13_c1_57	5mSIPHEX1_25	PF01292	Prokaryotic cytochrome b561	3
5mSIPHEX1_25_scaffold_300_c1_14	5mSIPHEX1_25	PF00512	His Kinase A (phospho-acceptor) domain	21
5mSIPHEX1_25_scaffold_300_c1_14	5mSIPHEX1_25	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	29
5mSIPHEX1_25_scaffold_74_c1_91	5mSIPHEX1_25	PF05746	DALR anticodon binding domain	2
5mSIPHEX1_25_scaffold_74_c1_91	5mSIPHEX1_25	PF00750	tRNA synthetases class I (R)	1
5mSIPHEX1_25_scaffold_74_c1_91	5mSIPHEX1_25	PF03485	Arginyl tRNA synthetase N terminal domain	1
5mSIPHEX1_25_scaffold_13_c1_9	5mSIPHEX1_25	PF04952	Succinylglutamate desuccinylase / Aspartoacylase family	3
5mSIPHEX1_25_scaffold_199_c1_42	5mSIPHEX1_25	PF13899	Thioredoxin-like	1
5mSIPHEX1_25_scaffold_199_c1_42	5mSIPHEX1_25	PF02683	Cytochrome C biogenesis protein transmembrane region	1
5mSIPHEX1_25_scaffold_199_c1_42	5mSIPHEX1_25	PF11412	Thiol:disulfide interchange protein DsbD, N-terminal	1
5mSIPHEX1_25_scaffold_5_c1_538	5mSIPHEX1_25	PF01435	Peptidase family M48	5
5mSIPHEX1_25_scaffold_74_c1_98	5mSIPHEX1_25	PF03109	ABC1 atypical kinase-like domain	5
5mSIPHEX1_25_scaffold_127_c1_22	5mSIPHEX1_25	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	21
5mSIPHEX1_25_scaffold_127_c1_22	5mSIPHEX1_25	PF12418	Acyl-CoA dehydrogenase N terminal	4
5mSIPHEX1_25_scaffold_127_c1_22	5mSIPHEX1_25	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	24
5mSIPHEX1_25_scaffold_127_c1_22	5mSIPHEX1_25	PF02770	Acyl-CoA dehydrogenase, middle domain	22
5mSIPHEX1_25_scaffold_127_c1_22	5mSIPHEX1_25	PF12806	Acetyl-CoA dehydrogenase C-terminal like	4
5mSIPHEX1_25_scaffold_57_c1_147	5mSIPHEX1_25	PF08546	Ketopantoate reductase PanE/ApbA C terminal	2
5mSIPHEX1_25_scaffold_57_c1_147	5mSIPHEX1_25	PF02558	Ketopantoate reductase PanE/ApbA	2
5mSIPHEX1_25_scaffold_56_c1_198	5mSIPHEX1_25	PF03279	Bacterial lipid A biosynthesis acyltransferase	3
5mSIPHEX1_25_scaffold_5_c1_436	5mSIPHEX1_25	PF12625	Arabinose-binding domain of AraC transcription regulator, N-term	14
5mSIPHEX1_25_scaffold_5_c1_436	5mSIPHEX1_25	PF12833	Helix-turn-helix domain	18
5mSIPHEX1_25_scaffold_76_c1_18	5mSIPHEX1_25	PF04055	Radical SAM superfamily	11
5mSIPHEX1_25_scaffold_76_c1_18	5mSIPHEX1_25	PF13353	4Fe-4S single cluster domain	2
5mSIPHEX1_25_scaffold_46_c1_152	5mSIPHEX1_25	PF19269	Anticodon binding domain	1
5mSIPHEX1_25_scaffold_46_c1_152	5mSIPHEX1_25	PF00749	tRNA synthetases class I (E and Q), catalytic domain	3
5mSIPHEX1_25_scaffold_13_c1_380	5mSIPHEX1_25	PF13205	Bacterial Ig-like domain	3
5mSIPHEX1_25_scaffold_42_c1_123	5mSIPHEX1_25	PF01738	Dienelactone hydrolase family	2
5mSIPHEX1_25_scaffold_46_c1_167	5mSIPHEX1_25	PF12146	Serine aminopeptidase, S33	5
5mSIPHEX1_25_scaffold_286_c1_37	5mSIPHEX1_25	PF09588	YqaJ-like viral recombinase domain	2
5mSIPHEX1_25_scaffold_56_c1_144	5mSIPHEX1_25	PF01790	Prolipoprotein diacylglyceryl transferase	3
5mSIPHEX1_25_scaffold_57_c1_31	5mSIPHEX1_25	PF14572	Phosphoribosyl synthetase-associated domain	2
5mSIPHEX1_25_scaffold_57_c1_31	5mSIPHEX1_25	PF13793	N-terminal domain of ribose phosphate pyrophosphokinase	2
5mSIPHEX1_25_scaffold_857_c1_12	5mSIPHEX1_25	PF13505	Outer membrane protein beta-barrel domain	10
5mSIPHEX1_25_scaffold_46_c1_35	5mSIPHEX1_25	PF00730	HhH-GPD superfamily base excision DNA repair protein	3
5mSIPHEX1_25_scaffold_46_c1_35	5mSIPHEX1_25	PF06029	AlkA N-terminal domain	1
5mSIPHEX1_25_scaffold_253_c1_14	5mSIPHEX1_25	PF13462	Thioredoxin	1
5mSIPHEX1_25_scaffold_5_c1_396	5mSIPHEX1_25	PF13450	NAD(P)-binding Rossmann-like domain	6
5mSIPHEX1_25_scaffold_5_c1_396	5mSIPHEX1_25	PF05199	GMC oxidoreductase	7
5mSIPHEX1_25_scaffold_5_c1_396	5mSIPHEX1_25	PF00732	GMC oxidoreductase	7
5mSIPHEX1_25_scaffold_5_c1_282	5mSIPHEX1_25	PF07311	Dodecin	1
5mSIPHEX1_25_scaffold_5_c1_312	5mSIPHEX1_25	PF01938	TRAM domain	2
5mSIPHEX1_25_scaffold_5_c1_312	5mSIPHEX1_25	PF05958	tRNA (Uracil-5-)-methyltransferase	1
5mSIPHEX1_25_scaffold_253_c1_24	5mSIPHEX1_25	PF11666	Protein of unknown function (DUF2933)	3
5mSIPHEX1_25_scaffold_5_c1_374	5mSIPHEX1_25	PF03938	Outer membrane protein (OmpH-like)	1
5mSIPHEX1_25_scaffold_42_c1_35	5mSIPHEX1_25	PF04246	Positive regulator of sigma(E), RseC/MucC	1
5mSIPHEX1_25_scaffold_13_c1_328	5mSIPHEX1_25	PF01022	Bacterial regulatory protein, arsR family	2
5mSIPHEX1_25_scaffold_76_c1_142	5mSIPHEX1_25	PF00580	UvrD/REP helicase N-terminal domain	3
5mSIPHEX1_25_scaffold_76_c1_142	5mSIPHEX1_25	PF13361	UvrD-like helicase C-terminal domain	4
5mSIPHEX1_25_scaffold_13_c1_52	5mSIPHEX1_25	PF01584	CheW-like domain	3
5mSIPHEX1_25_scaffold_13_c1_52	5mSIPHEX1_25	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	29
5mSIPHEX1_25_scaffold_13_c1_52	5mSIPHEX1_25	PF02895	Signal transducing histidine kinase, homodimeric domain	1
5mSIPHEX1_25_scaffold_13_c1_52	5mSIPHEX1_25	PF01627	Hpt domain	3
5mSIPHEX1_25_scaffold_13_c1_52	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_56_c1_191	5mSIPHEX1_25	PF01075	Glycosyltransferase family 9 (heptosyltransferase)	3
5mSIPHEX1_25_scaffold_13_c1_147	5mSIPHEX1_25	PF16576	Barrel-sandwich domain of CusB or HlyD membrane-fusion	13
5mSIPHEX1_25_scaffold_42_c1_166	5mSIPHEX1_25	PF06980	Protein of unknown function (DUF1302)	1
5mSIPHEX1_25_scaffold_188_c1_17	5mSIPHEX1_25	PF12697	Alpha/beta hydrolase family	9
5mSIPHEX1_25_scaffold_42_c1_137	5mSIPHEX1_25	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	29
5mSIPHEX1_25_scaffold_42_c1_137	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_42_c1_137	5mSIPHEX1_25	PF00512	His Kinase A (phospho-acceptor) domain	21
5mSIPHEX1_25_scaffold_127_c1_71	5mSIPHEX1_25	PF01502	Phosphoribosyl-AMP cyclohydrolase	1
5mSIPHEX1_25_scaffold_57_c1_100	5mSIPHEX1_25	PF13580	SIS domain	1
5mSIPHEX1_25_scaffold_296_c1_23	5mSIPHEX1_25	PF00089	Trypsin	1
5mSIPHEX1_25_scaffold_56_c1_135	5mSIPHEX1_25	PF13649	Methyltransferase domain	5
5mSIPHEX1_25_scaffold_13_c1_245	5mSIPHEX1_25	PF07152	YaeQ protein	1
5mSIPHEX1_25_scaffold_76_c1_121	5mSIPHEX1_25	PF00171	Aldehyde dehydrogenase family	8
5mSIPHEX1_25_scaffold_5_c1_473	5mSIPHEX1_25	PF01176	Translation initiation factor 1A / IF-1	1
5mSIPHEX1_25_scaffold_253_c1_46	5mSIPHEX1_25	PF05275	Copper resistance protein B precursor (CopB)	3
5mSIPHEX1_25_scaffold_174_c1_2	5mSIPHEX1_25	PF01555	DNA methylase	1
5mSIPHEX1_25_scaffold_56_c1_197	5mSIPHEX1_25	PF04932	O-Antigen ligase	1
5mSIPHEX1_25_scaffold_56_c1_49	5mSIPHEX1_25	PF00873	AcrB/AcrD/AcrF family	14
5mSIPHEX1_25_scaffold_127_c1_32	5mSIPHEX1_25	PF00578	AhpC/TSA family	4
5mSIPHEX1_25_scaffold_56_c1_55	5mSIPHEX1_25	PF07995	Glucose / Sorbosone dehydrogenase	1
5mSIPHEX1_25_scaffold_115_c1_56	5mSIPHEX1_25	PF13103	TonB C terminal	1
5mSIPHEX1_25_scaffold_211_c1_41	5mSIPHEX1_25	PF00999	Sodium/hydrogen exchanger family	5
5mSIPHEX1_25_scaffold_211_c1_3	5mSIPHEX1_25	PF13007	Transposase C of IS166 homeodomain	1
5mSIPHEX1_25_scaffold_211_c1_3	5mSIPHEX1_25	PF13005	zinc-finger binding domain of transposase IS66	1
5mSIPHEX1_25_scaffold_42_c1_121	5mSIPHEX1_25	PF00528	Binding-protein-dependent transport system inner membrane component	10
5mSIPHEX1_25_scaffold_57_c1_42	5mSIPHEX1_25	PF02637	GatB domain	1
5mSIPHEX1_25_scaffold_57_c1_42	5mSIPHEX1_25	PF02934	GatB/GatE catalytic domain	1
5mSIPHEX1_25_scaffold_57_c1_184	5mSIPHEX1_25	PF05860	TPS secretion domain	1
5mSIPHEX1_25_scaffold_57_c1_184	5mSIPHEX1_25	PF13332	Hemagglutinin repeat	1
5mSIPHEX1_25_scaffold_5_c1_148	5mSIPHEX1_25	PF00534	Glycosyl transferases group 1	5
5mSIPHEX1_25_scaffold_5_c1_148	5mSIPHEX1_25	PF13439	Glycosyltransferase Family 4	2
5mSIPHEX1_25_scaffold_142_c1_78	5mSIPHEX1_25	PF16968	Pilus assembly protein TadZ N-terminal	1
5mSIPHEX1_25_scaffold_643_c1_11	5mSIPHEX1_25	PF00929	Exonuclease	4
5mSIPHEX1_25_scaffold_74_c1_87	5mSIPHEX1_25	PF17092	Penicillin-binding protein OB-like domain	1
5mSIPHEX1_25_scaffold_74_c1_87	5mSIPHEX1_25	PF00905	Penicillin binding protein transpeptidase domain	5
5mSIPHEX1_25_scaffold_74_c1_87	5mSIPHEX1_25	PF00912	Transglycosylase	4
5mSIPHEX1_25_scaffold_530_c3_9	5mSIPHEX1_25	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	24
5mSIPHEX1_25_scaffold_530_c3_9	5mSIPHEX1_25	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	21
5mSIPHEX1_25_scaffold_57_c1_124	5mSIPHEX1_25	PF01960	ArgJ family	1
5mSIPHEX1_25_scaffold_57_c1_51	5mSIPHEX1_25	PF01523	PmbA/TldA metallopeptidase domain 1	2
5mSIPHEX1_25_scaffold_57_c1_51	5mSIPHEX1_25	PF19289	PmbA/TldA metallopeptidase C-terminal domain	2
5mSIPHEX1_25_scaffold_57_c1_51	5mSIPHEX1_25	PF19290	PmbA/TldA metallopeptidase central domain	2
5mSIPHEX1_25_scaffold_56_c1_147	5mSIPHEX1_25	PF02566	OsmC-like protein	4
5mSIPHEX1_25_scaffold_5_c1_230	5mSIPHEX1_25	PF00005	ABC transporter	30
5mSIPHEX1_25_scaffold_5_c1_230	5mSIPHEX1_25	PF16326	ABC transporter C-terminal domain	1
5mSIPHEX1_25_scaffold_5_c1_230	5mSIPHEX1_25	PF12848	ABC transporter	4
5mSIPHEX1_25_scaffold_5_c1_309	5mSIPHEX1_25	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	29
5mSIPHEX1_25_scaffold_5_c1_309	5mSIPHEX1_25	PF00672	HAMP domain	7
5mSIPHEX1_25_scaffold_5_c1_309	5mSIPHEX1_25	PF01627	Hpt domain	3
5mSIPHEX1_25_scaffold_5_c1_309	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_5_c1_309	5mSIPHEX1_25	PF00512	His Kinase A (phospho-acceptor) domain	21
5mSIPHEX1_25_scaffold_56_c1_88	5mSIPHEX1_25	PF02696	Protein adenylyltransferase SelO	1
5mSIPHEX1_25_scaffold_239_c1_51	5mSIPHEX1_25	PF00012	Hsp70 protein	3
5mSIPHEX1_25_scaffold_5_c1_207	5mSIPHEX1_25	PF13649	Methyltransferase domain	5
5mSIPHEX1_25_scaffold_46_c1_181	5mSIPHEX1_25	PF10604	Polyketide cyclase / dehydrase and lipid transport	2
5mSIPHEX1_25_scaffold_199_c1_61	5mSIPHEX1_25	PF03069	Acetamidase/Formamidase family	1
5mSIPHEX1_25_scaffold_13_c1_164	5mSIPHEX1_25	PF00430	ATP synthase B/B' CF(0)	1
5mSIPHEX1_25_scaffold_142_c1_57	5mSIPHEX1_25	PF05690	Thiazole biosynthesis protein ThiG	1
5mSIPHEX1_25_scaffold_615_c1_6	5mSIPHEX1_25	PF00122	E1-E2 ATPase	6
5mSIPHEX1_25_scaffold_615_c1_6	5mSIPHEX1_25	PF00702	haloacid dehalogenase-like hydrolase	10
5mSIPHEX1_25_scaffold_188_c1_5	5mSIPHEX1_25	PF01738	Dienelactone hydrolase family	2
5mSIPHEX1_25_scaffold_5_c1_522	5mSIPHEX1_25	PF01476	LysM domain	5
5mSIPHEX1_25_scaffold_5_c1_522	5mSIPHEX1_25	PF01464	Transglycosylase SLT domain	5
5mSIPHEX1_25_scaffold_1048_c1_2	5mSIPHEX1_25	PF00732	GMC oxidoreductase	7
5mSIPHEX1_25_scaffold_1048_c1_2	5mSIPHEX1_25	PF05199	GMC oxidoreductase	7
5mSIPHEX1_25_scaffold_5_c1_191	5mSIPHEX1_25	PF13419	Haloacid dehalogenase-like hydrolase	4
5mSIPHEX1_25_scaffold_74_c1_133	5mSIPHEX1_25	PF07695	7TM diverse intracellular signalling	4
5mSIPHEX1_25_scaffold_74_c1_133	5mSIPHEX1_25	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	29
5mSIPHEX1_25_scaffold_74_c1_133	5mSIPHEX1_25	PF07696	7TMR-DISM extracellular 2	4
5mSIPHEX1_25_scaffold_5_c1_469	5mSIPHEX1_25	PF00180	Isocitrate/isopropylmalate dehydrogenase	4
5mSIPHEX1_25_scaffold_13_c1_260	5mSIPHEX1_25	PF01292	Prokaryotic cytochrome b561	3
5mSIPHEX1_25_scaffold_211_c1_42	5mSIPHEX1_25	PF18916	Lycopene cyclase	1
5mSIPHEX1_25_scaffold_13_c1_204	5mSIPHEX1_25	PF01040	UbiA prenyltransferase family	2
5mSIPHEX1_25_scaffold_13_c1_221	5mSIPHEX1_25	PF01047	MarR family	3
5mSIPHEX1_25_scaffold_5_c1_336	5mSIPHEX1_25	PF06167	Glucose-regulated metallo-peptidase M90	1
5mSIPHEX1_25_scaffold_13_c1_262	5mSIPHEX1_25	PF02729	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain	2
5mSIPHEX1_25_scaffold_13_c1_262	5mSIPHEX1_25	PF00185	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	2
5mSIPHEX1_25_scaffold_56_c1_145	5mSIPHEX1_25	PF00303	Thymidylate synthase	1
5mSIPHEX1_25_scaffold_530_c3_10	5mSIPHEX1_25	PF02770	Acyl-CoA dehydrogenase, middle domain	22
5mSIPHEX1_25_scaffold_530_c3_10	5mSIPHEX1_25	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	21
5mSIPHEX1_25_scaffold_530_c3_10	5mSIPHEX1_25	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	24
5mSIPHEX1_25_scaffold_56_c1_141	5mSIPHEX1_25	PF00391	PEP-utilising enzyme, mobile domain	3
5mSIPHEX1_25_scaffold_56_c1_141	5mSIPHEX1_25	PF05524	PEP-utilising enzyme, N-terminal	1
5mSIPHEX1_25_scaffold_56_c1_141	5mSIPHEX1_25	PF01590	GAF domain	4
5mSIPHEX1_25_scaffold_56_c1_141	5mSIPHEX1_25	PF02896	PEP-utilising enzyme, PEP-binding domain	2
5mSIPHEX1_25_scaffold_46_c1_79	5mSIPHEX1_25	PF00574	Clp protease	1
5mSIPHEX1_25_scaffold_5_c1_160	5mSIPHEX1_25	PF00953	Glycosyl transferase family 4	2
5mSIPHEX1_25_scaffold_56_c1_65	5mSIPHEX1_25	PF00440	Bacterial regulatory proteins, tetR family	20
5mSIPHEX1_25_scaffold_56_c1_65	5mSIPHEX1_25	PF14246	AefR-like transcriptional repressor, C-terminal domain	2
5mSIPHEX1_25_scaffold_5_c1_182	5mSIPHEX1_25	PF02463	RecF/RecN/SMC N terminal domain	3
5mSIPHEX1_25_scaffold_5_c1_182	5mSIPHEX1_25	PF06470	SMC proteins Flexible Hinge Domain	1
5mSIPHEX1_25_scaffold_1883_c1_4	5mSIPHEX1_25	PF01850	PIN domain	1
5mSIPHEX1_25_scaffold_13_c1_281	5mSIPHEX1_25	PF00005	ABC transporter	30
5mSIPHEX1_25_scaffold_643_c1_4	5mSIPHEX1_25	PF00583	Acetyltransferase (GNAT) family	9
5mSIPHEX1_25_scaffold_300_c1_15	5mSIPHEX1_25	PF02954	Bacterial regulatory protein, Fis family	5
5mSIPHEX1_25_scaffold_300_c1_15	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_300_c1_15	5mSIPHEX1_25	PF00158	Sigma-54 interaction domain	3
5mSIPHEX1_25_scaffold_42_c1_13	5mSIPHEX1_25	PF03537	Glycoside-hydrolase family GH114	2
5mSIPHEX1_25_scaffold_13_c1_67	5mSIPHEX1_25	PF00561	alpha/beta hydrolase fold	12
5mSIPHEX1_25_scaffold_13_c1_153	5mSIPHEX1_25	PF00463	Isocitrate lyase family	1
5mSIPHEX1_25_scaffold_13_c1_318	5mSIPHEX1_25	PF17191	RecG wedge domain	1
5mSIPHEX1_25_scaffold_13_c1_318	5mSIPHEX1_25	PF19833	ATP-dependent DNA helicase RecG, domain 3, C-terminal	1
5mSIPHEX1_25_scaffold_13_c1_318	5mSIPHEX1_25	PF00270	DEAD/DEAH box helicase	14
5mSIPHEX1_25_scaffold_13_c1_318	5mSIPHEX1_25	PF00271	Helicase conserved C-terminal domain	16
5mSIPHEX1_25_scaffold_56_c1_20	5mSIPHEX1_25	PF01545	Cation efflux family	9
5mSIPHEX1_25_scaffold_127_c1_73	5mSIPHEX1_25	PF10011	Predicted membrane protein (DUF2254)	1
5mSIPHEX1_25_scaffold_5_c1_527	5mSIPHEX1_25	PF06450	Bacterial Na+/H+ antiporter B (NhaB)	1
5mSIPHEX1_25_scaffold_239_c1_15	5mSIPHEX1_25	PF04359	Protein of unknown function (DUF493)	1
5mSIPHEX1_25_scaffold_74_c1_72	5mSIPHEX1_25	PF02770	Acyl-CoA dehydrogenase, middle domain	22
5mSIPHEX1_25_scaffold_74_c1_72	5mSIPHEX1_25	PF00441	Acyl-CoA dehydrogenase, C-terminal domain	24
5mSIPHEX1_25_scaffold_74_c1_72	5mSIPHEX1_25	PF02771	Acyl-CoA dehydrogenase, N-terminal domain	21
5mSIPHEX1_25_scaffold_199_c1_18	5mSIPHEX1_25	PF02954	Bacterial regulatory protein, Fis family	5
5mSIPHEX1_25_scaffold_199_c1_18	5mSIPHEX1_25	PF00072	Response regulator receiver domain	41
5mSIPHEX1_25_scaffold_115_c1_41	5mSIPHEX1_25	PF17243	POTRA domain TamA domain 1	1
5mSIPHEX1_25_scaffold_115_c1_41	5mSIPHEX1_25	PF07244	Surface antigen variable number repeat	2
5mSIPHEX1_25_scaffold_115_c1_41	5mSIPHEX1_25	PF01103	Omp85 superfamily domain	2
5mSIPHEX1_25_scaffold_296_c1_24	5mSIPHEX1_25	PF02646	RmuC family	1
5mSIPHEX1_25_scaffold_354_c1_32	5mSIPHEX1_25	PF02569	Pantoate-beta-alanine ligase	1
