Module	Module_description	Pathway	Pathway_description	Cycle	Pathway_cycle	Detail_cycle	Genes	Gene_description	Enzyme	KO	rbims_pathway	rbims_sub_pathway	Bin_10	Bin_12	Bin_56	Bin_113	Bin_1	Bin_2
M00118	Glutathione biosynthesis, glutamate => glutathione	map00480	Glutathione metabolism	NA	NA	NA	gshB	glutathione synthase [EC:6.3.2.3]	ec:6.3.2.3	K01920	NA	NA	0	1	0	0	0	0
M00118	Glutathione biosynthesis, glutamate => glutathione	map01100	Metabolic pathways	NA	NA	NA	gshB	glutathione synthase [EC:6.3.2.3]	ec:6.3.2.3	K01920	NA	NA	0	1	0	0	0	0
M00118	Glutathione biosynthesis, glutamate => glutathione	map01240	Biosynthesis of cofactors	NA	NA	NA	gshB	glutathione synthase [EC:6.3.2.3]	ec:6.3.2.3	K01920	NA	NA	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	K09973	uncharacterized protein	NA	K09973	NA	NA	0	1	0	0	0	0
NA	NA	map03430	Mismatch repair	NA	NA	NA	mutS2	DNA mismatch repair protein MutS2	NA	K07456	NA	NA	0	1	0	0	0	0
NA	NA	map03410	Base excision repair	NA	NA	NA	UNG, UDG	uracil-DNA glycosylase [EC:3.2.2.27]	ec:3.2.2.27	K03648	NA	NA	0	1	0	0	0	0
NA	NA	map05340	Primary immunodeficiency	NA	NA	NA	UNG, UDG	uracil-DNA glycosylase [EC:3.2.2.27]	ec:3.2.2.27	K03648	NA	NA	0	1	0	0	0	0
NA	NA	map00240	Pyrimidine metabolism	NA	NA	NA	udp, UPP	uridine phosphorylase [EC:2.4.2.3]	ec:2.4.2.3	K00757	NA	NA	0	1	1	1	0	0
NA	NA	map00983	Drug metabolism - other enzymes	NA	NA	NA	udp, UPP	uridine phosphorylase [EC:2.4.2.3]	ec:2.4.2.3	K00757	NA	NA	0	1	1	1	0	0
NA	NA	map01100	Metabolic pathways	NA	NA	NA	udp, UPP	uridine phosphorylase [EC:2.4.2.3]	ec:2.4.2.3	K00757	NA	NA	0	1	1	1	0	0
NA	NA	NA	NA	NA	NA	NA	K06915	uncharacterized protein	NA	K06915	NA	NA	0	1	2	2	0	0
NA	NA	map03013	RNA transport	NA	NA	NA	EIF1, SUI1	translation initiation factor 1	NA	K03113	NA	NA	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	DPEP	membrane dipeptidase [EC:3.4.13.19]	ec:3.4.13.19	K01273	NA	NA	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	NA	K03718	NA	NA	0	1	0	0	0	0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	NA	NA	NA	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	ec:4.2.3.4	K01735	NA	NA	0	1	0	0	0	0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map01100	Metabolic pathways	NA	NA	NA	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	ec:4.2.3.4	K01735	NA	NA	0	1	0	0	0	0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map01110	Biosynthesis of secondary metabolites	NA	NA	NA	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	ec:4.2.3.4	K01735	NA	NA	0	1	0	0	0	0
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map01230	Biosynthesis of amino acids	NA	NA	NA	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	ec:4.2.3.4	K01735	NA	NA	0	1	0	0	0	0
NA	NA	map00250	Alanine, aspartate and glutamate metabolism	NA	NA	NA	ald	alanine dehydrogenase [EC:1.4.1.1]	ec:1.4.1.1	K00259	NA	NA	0	1	0	0	0	0
NA	NA	map00430	Taurine and hypotaurine metabolism	NA	NA	NA	ald	alanine dehydrogenase [EC:1.4.1.1]	ec:1.4.1.1	K00259	NA	NA	0	1	0	0	0	0
NA	NA	map01100	Metabolic pathways	NA	NA	NA	ald	alanine dehydrogenase [EC:1.4.1.1]	ec:1.4.1.1	K00259	NA	NA	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	NA	K06925	NA	NA	0	1	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	K06885	uncharacterized protein	NA	K06885	NA	NA	0	1	0	1	0	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	ec:2.3.1.191	K02536	NA	NA	0	2	0	0	1	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	ec:2.3.1.191	K02536	NA	NA	0	2	0	0	1	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	ec:2.3.1.191	K02536	NA	NA	0	2	0	0	1	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]	ec:2.3.1.191	K02536	NA	NA	0	2	0	0	1	0
M00083	Fatty acid biosynthesis, elongation	map00061	Fatty acid biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map00061	Fatty acid biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00061	Fatty acid biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00061	Fatty acid biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map01100	Metabolic pathways	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map01100	Metabolic pathways	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map01212	Fatty acid metabolism	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map01212	Fatty acid metabolism	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01212	Fatty acid metabolism	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:3.5.1.108	K16363	NA	NA	0	1	0	0	0	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01212	Fatty acid metabolism	NA	NA	NA	lpxC-fabZ	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	ec:4.2.1.59	K16363	NA	NA	0	1	0	0	0	0
M00083	Fatty acid biosynthesis, elongation	map00061	Fatty acid biosynthesis	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	map00061	Fatty acid biosynthesis	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00083	Fatty acid biosynthesis, elongation	map00780	Biotin metabolism	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	map00780	Biotin metabolism	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00083	Fatty acid biosynthesis, elongation	map01100	Metabolic pathways	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	map01100	Metabolic pathways	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00083	Fatty acid biosynthesis, elongation	map01212	Fatty acid metabolism	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	map01212	Fatty acid metabolism	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00083	Fatty acid biosynthesis, elongation	map01240	Biosynthesis of cofactors	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	map01240	Biosynthesis of cofactors	NA	NA	NA	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	ec:4.2.1.59	K02372	NA	NA	0	1	0	0	1	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map00540	Lipopolysaccharide biosynthesis	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01100	Metabolic pathways	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
M00060	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map01503	Cationic antimicrobial peptide (CAMP) resistance	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	map01503	Cationic antimicrobial peptide (CAMP) resistance	NA	NA	NA	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	ec:2.3.1.129	K00677	NA	NA	0	1	0	0	1	0
NA	NA	NA	NA	NA	NA	NA	efp	elongation factor P	NA	K02356	NA	NA	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00020	Citrate cycle (TCA cycle)	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00020	Citrate cycle (TCA cycle)	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00020	Citrate cycle (TCA cycle)	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00020	Citrate cycle (TCA cycle)	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00020	Citrate cycle (TCA cycle)	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00020	Citrate cycle (TCA cycle)	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00640	Propanoate metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00640	Propanoate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00640	Propanoate metabolism	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00640	Propanoate metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00640	Propanoate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map00640	Propanoate metabolism	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00640	Propanoate metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00640	Propanoate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map00640	Propanoate metabolism	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00640	Propanoate metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00640	Propanoate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00374	Dicarboxylate-hydroxybutyrate cycle	map00640	Propanoate metabolism	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00640	Propanoate metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00640	Propanoate metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	map00640	Propanoate metabolism	Central metabolism	TCA cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map00660	C5-Branched dibasic acid metabolism	Carbon fixation	Reductive citrate cycle	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	sucD	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	ec:6.2.1.5	K01902	Carbon Fixation	Reductive citrate cycle	0	1	0	1	0	0
