# gene name                                                                       KO     thrshld  score   E-value KO definition
#-------------------------------------------------------------------------------- ------ ------- ------ --------- ---------------------
* B113_G9_Unknown-B113_Guay9_scaffold_55499_58_B113_G9_Idunnarchaeota.fna_58_5    K02875   34.03   59.9   1.3e-17 large subunit ribosomal protein L14e
* B113_G9_Unknown-B113_Guay9_scaffold_55499_58_B113_G9_Idunnarchaeota.fna_58_7    K11131  240.90  359.2  1.6e-108 H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]
* B113_G9_Unknown-B113_Guay9_scaffold_55499_58_B113_G9_Idunnarchaeota.fna_58_9    K04759  118.60  124.6   1.7e-37 ferrous iron transport protein B
* B113_G9_Unknown-B113_Guay9_scaffold_55521_59_B113_G9_Idunnarchaeota.fna_59_2    K01990  250.27  310.1   1.6e-93 ABC-2 type transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_55521_59_B113_G9_Idunnarchaeota.fna_59_3    K10773  135.20  202.6   4.7e-61 endonuclease III [EC:4.2.99.18]
* B113_G9_Unknown-B113_Guay9_scaffold_56653_60_B113_G9_Idunnarchaeota.fna_60_3    K04655  163.37  377.4  5.5e-114 hydrogenase expression/formation protein HypE
* B113_G9_Unknown-B113_Guay9_scaffold_56653_60_B113_G9_Idunnarchaeota.fna_60_4    K04653   31.93  112.7   7.7e-34 hydrogenase expression/formation protein HypC
* B113_G9_Unknown-B113_Guay9_scaffold_56676_61_B113_G9_Idunnarchaeota.fna_61_3    K00600   89.30  234.8     9e-71 glycine hydroxymethyltransferase [EC:2.1.2.1]
* B113_G9_Unknown-B113_Guay9_scaffold_57251_62_B113_G9_Idunnarchaeota.fna_62_2    K02004   48.50   54.4   2.9e-16 putative ABC transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_57438_63_B113_G9_Idunnarchaeota.fna_63_2    K10848   73.77   85.2   1.3e-25 DNA excision repair protein ERCC-4 [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_57438_63_B113_G9_Idunnarchaeota.fna_63_6    K09726  178.57  274.4     8e-83 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_57668_64_B113_G9_Idunnarchaeota.fna_64_2    K01873  587.73  719.5  3.2e-217 valyl-tRNA synthetase [EC:6.1.1.9]
* B113_G9_Unknown-B113_Guay9_scaffold_57840_65_B113_G9_Idunnarchaeota.fna_65_1    K03330  481.13  657.1  1.3e-198 glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]
* B113_G9_Unknown-B113_Guay9_scaffold_57840_65_B113_G9_Idunnarchaeota.fna_65_2    K09482  392.40  568.6    3e-172 glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]
* B113_G9_Unknown-B113_Guay9_scaffold_57840_65_B113_G9_Idunnarchaeota.fna_65_2    K01424  153.30  257.5   1.4e-77 L-asparaginase [EC:3.5.1.1]
* B113_G9_Unknown-B113_Guay9_scaffold_57840_65_B113_G9_Idunnarchaeota.fna_65_3    K07739  297.90  484.9  2.2e-146 elongator complex protein 3 [EC:2.3.1.48]
* B113_G9_Unknown-B113_Guay9_scaffold_60313_66_B113_G9_Idunnarchaeota.fna_66_1    K00171  102.80  121.7   8.7e-37 pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
* B113_G9_Unknown-B113_Guay9_scaffold_60313_66_B113_G9_Idunnarchaeota.fna_66_2    K00169  299.80  495.8    5e-150 pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
* B113_G9_Unknown-B113_Guay9_scaffold_60313_66_B113_G9_Idunnarchaeota.fna_66_3    K00170  309.47  414.4  1.2e-125 pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
* B113_G9_Unknown-B113_Guay9_scaffold_60313_66_B113_G9_Idunnarchaeota.fna_66_4    K09481   28.47   35.4   5.6e-10 protein transport protein SEC61 subunit beta
* B113_G9_Unknown-B113_Guay9_scaffold_60662_67_B113_G9_Idunnarchaeota.fna_67_2    K06915  111.63  159.9   4.5e-48 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_62018_68_B113_G9_Idunnarchaeota.fna_68_4    K03622   52.87  110.9   9.8e-34 archaea-specific DNA-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_62071_69_B113_G9_Idunnarchaeota.fna_69_3    K13525  799.27 1041.9         0 transitional endoplasmic reticulum ATPase
* B113_G9_Unknown-B113_Guay9_scaffold_62071_69_B113_G9_Idunnarchaeota.fna_69_4    K07580   55.50   70.8   3.2e-21 Zn-ribbon RNA-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_62338_70_B113_G9_Idunnarchaeota.fna_70_2    K00058  324.80  435.9  8.6e-132 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
* B113_G9_Unknown-B113_Guay9_scaffold_63602_71_B113_G9_Idunnarchaeota.fna_71_1    K03124  164.20  207.4   1.6e-62 transcription initiation factor TFIIB
* B113_G9_Unknown-B113_Guay9_scaffold_63602_71_B113_G9_Idunnarchaeota.fna_71_2    K07569   48.73   68.7   1.9e-20 RNA-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_63602_71_B113_G9_Idunnarchaeota.fna_71_3    K02995   52.37   78.7   1.9e-23 small subunit ribosomal protein S8e
* B113_G9_Unknown-B113_Guay9_scaffold_63602_71_B113_G9_Idunnarchaeota.fna_71_4    K03105   28.10   88.5   2.5e-26 signal recognition particle subunit SRP19
* B113_G9_Unknown-B113_Guay9_scaffold_63602_71_B113_G9_Idunnarchaeota.fna_71_5    K16874  421.90  492.2  4.9e-149 2,5-furandicarboxylate decarboxylase 1
* B113_G9_Unknown-B113_Guay9_scaffold_64142_73_B113_G9_Idunnarchaeota.fna_73_1    K01611   15.37   34.8   6.4e-10 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* B113_G9_Unknown-B113_Guay9_scaffold_64142_73_B113_G9_Idunnarchaeota.fna_73_2    K00797  101.77  241.4   7.5e-73 spermidine synthase [EC:2.5.1.16]
* B113_G9_Unknown-B113_Guay9_scaffold_64142_73_B113_G9_Idunnarchaeota.fna_73_4    K06937  150.17  417.9  2.9e-126 7,8-dihydro-6-hydroxymethylpterin dimethyltransferase [EC:2.1.1.-]
* B113_G9_Unknown-B113_Guay9_scaffold_64483_74_B113_G9_Idunnarchaeota.fna_74_1    K23997  302.57  424.4  3.9e-128 ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]
* B113_G9_Unknown-B113_Guay9_scaffold_64483_74_B113_G9_Idunnarchaeota.fna_74_3    K09732   80.63   89.7   3.9e-27 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_65665_76_B113_G9_Idunnarchaeota.fna_76_1    K02437   38.20  144.3   2.7e-43 glycine cleavage system H protein
* B113_G9_Unknown-B113_Guay9_scaffold_65665_76_B113_G9_Idunnarchaeota.fna_76_2    K07151  248.70  481.7  2.2e-145 dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
* B113_G9_Unknown-B113_Guay9_scaffold_65665_76_B113_G9_Idunnarchaeota.fna_76_3    K11130   28.67   35.1   5.1e-10 H/ACA ribonucleoprotein complex subunit 3
* B113_G9_Unknown-B113_Guay9_scaffold_65665_76_B113_G9_Idunnarchaeota.fna_76_4    K03237  106.23  151.6   1.3e-45 translation initiation factor 2 subunit 1
* B113_G9_Unknown-B113_Guay9_scaffold_66703_77_B113_G9_Idunnarchaeota.fna_77_4    K01622  108.40  633.1  1.5e-191 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]
* B113_G9_Unknown-B113_Guay9_scaffold_66703_77_B113_G9_Idunnarchaeota.fna_77_5    K06174  241.83  257.3   1.6e-77 ATP-binding cassette, sub-family E, member 1
* B113_G9_Unknown-B113_Guay9_scaffold_66916_78_B113_G9_Idunnarchaeota.fna_78_3    K07317  141.20  145.9   9.1e-44 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* B113_G9_Unknown-B113_Guay9_scaffold_67648_79_B113_G9_Idunnarchaeota.fna_79_3    K09165   36.47   86.2   1.3e-25 dodecin
* B113_G9_Unknown-B113_Guay9_scaffold_67825_80_B113_G9_Idunnarchaeota.fna_80_2    K07483   32.83   36.2   2.6e-10 transposase
* B113_G9_Unknown-B113_Guay9_scaffold_67825_80_B113_G9_Idunnarchaeota.fna_80_4    K06963   42.77   69.8   1.4e-20 tRNA acetyltransferase TAN1
* B113_G9_Unknown-B113_Guay9_scaffold_67882_82_B113_G9_Idunnarchaeota.fna_82_1    K01470   69.97  154.7   1.7e-46 creatinine amidohydrolase [EC:3.5.2.10]
* B113_G9_Unknown-B113_Guay9_scaffold_68618_84_B113_G9_Idunnarchaeota.fna_84_1    K00573   86.27  238.6   5.5e-72 protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
* B113_G9_Unknown-B113_Guay9_scaffold_68618_84_B113_G9_Idunnarchaeota.fna_84_2    K04799  265.37  412.3  1.5e-124 flap endonuclease-1 [EC:3.-.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_69745_85_B113_G9_Idunnarchaeota.fna_85_2    K04797   57.90   58.9   2.4e-17 prefoldin alpha subunit
* B113_G9_Unknown-B113_Guay9_scaffold_69745_85_B113_G9_Idunnarchaeota.fna_85_3    K03110  295.33  331.8  3.2e-100 fused signal recognition particle receptor
* B113_G9_Unknown-B113_Guay9_scaffold_69745_85_B113_G9_Idunnarchaeota.fna_85_4    K00611  323.07  433.2  5.2e-131 ornithine carbamoyltransferase [EC:2.1.3.3]
* B113_G9_Unknown-B113_Guay9_scaffold_69745_85_B113_G9_Idunnarchaeota.fna_85_5    K07342   29.70   42.2   3.1e-12 protein transport protein SEC61 subunit gamma and related proteins
* B113_G9_Unknown-B113_Guay9_scaffold_70259_86_B113_G9_Idunnarchaeota.fna_86_1    K03975   60.10   97.8   3.3e-29 membrane-associated protein
* B113_G9_Unknown-B113_Guay9_scaffold_70259_86_B113_G9_Idunnarchaeota.fna_86_2    K03709  117.37  131.3   2.3e-39 DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
* B113_G9_Unknown-B113_Guay9_scaffold_70871_88_B113_G9_Idunnarchaeota.fna_88_2    K07025  118.73  140.3   5.8e-42 putative hydrolase of the HAD superfamily
* B113_G9_Unknown-B113_Guay9_scaffold_70871_88_B113_G9_Idunnarchaeota.fna_88_3    K07025  118.73  121.1   3.9e-36 putative hydrolase of the HAD superfamily
* B113_G9_Unknown-B113_Guay9_scaffold_70871_88_B113_G9_Idunnarchaeota.fna_88_3    K01091  114.87  119.3   8.5e-36 phosphoglycolate phosphatase [EC:3.1.3.18]
* B113_G9_Unknown-B113_Guay9_scaffold_70871_88_B113_G9_Idunnarchaeota.fna_88_5    K21636  137.80  274.0   1.1e-82 ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
* B113_G9_Unknown-B113_Guay9_scaffold_71010_89_B113_G9_Idunnarchaeota.fna_89_2    K09716  120.73  251.0     1e-75 D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
* B113_G9_Unknown-B113_Guay9_scaffold_71010_89_B113_G9_Idunnarchaeota.fna_89_4    K03574   66.40   83.3   8.6e-25 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
* B113_G9_Unknown-B113_Guay9_scaffold_72122_90_B113_G9_Idunnarchaeota.fna_90_2    K07403  123.17  317.5   7.7e-96 membrane-bound serine protease (ClpP class)
* B113_G9_Unknown-B113_Guay9_scaffold_72214_91_B113_G9_Idunnarchaeota.fna_91_3    K02994   92.83  113.1     5e-34 small subunit ribosomal protein S8
* B113_G9_Unknown-B113_Guay9_scaffold_72214_91_B113_G9_Idunnarchaeota.fna_91_4    K02933  114.27  146.7   5.2e-44 large subunit ribosomal protein L6
* B113_G9_Unknown-B113_Guay9_scaffold_72214_91_B113_G9_Idunnarchaeota.fna_91_5    K02912   94.97  176.4   2.2e-53 large subunit ribosomal protein L32e
* B113_G9_Unknown-B113_Guay9_scaffold_72214_91_B113_G9_Idunnarchaeota.fna_91_6    K02885   60.10  116.0     1e-34 large subunit ribosomal protein L19e
* B113_G9_Unknown-B113_Guay9_scaffold_73024_92_B113_G9_Idunnarchaeota.fna_92_2    K01923  167.53  209.8   3.3e-63 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
* B113_G9_Unknown-B113_Guay9_scaffold_73024_92_B113_G9_Idunnarchaeota.fna_92_3    K23264   41.57   52.7     2e-15 phosphoribosylformylglycinamidine synthase subunit PurS [EC:6.3.5.3]
* B113_G9_Unknown-B113_Guay9_scaffold_73024_92_B113_G9_Idunnarchaeota.fna_92_4    K23265  213.47  341.0  3.9e-103 phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]
* B113_G9_Unknown-B113_Guay9_scaffold_74480_94_B113_G9_Idunnarchaeota.fna_94_3    K06869  167.23  224.6   6.6e-68 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_74802_95_B113_G9_Idunnarchaeota.fna_95_2    K02004   48.50  160.5     2e-48 putative ABC transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_76347_96_B113_G9_Idunnarchaeota.fna_96_2    K07108   73.50   91.2   2.1e-27 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_76347_96_B113_G9_Idunnarchaeota.fna_96_3    K09013  164.17  209.6   2.4e-63 Fe-S cluster assembly ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_76347_96_B113_G9_Idunnarchaeota.fna_96_5    K01912  130.73  196.3   5.6e-59 phenylacetate-CoA ligase [EC:6.2.1.30]
* B113_G9_Unknown-B113_Guay9_scaffold_76835_97_B113_G9_Idunnarchaeota.fna_97_1    K00796  258.43  286.7   2.1e-86 dihydropteroate synthase [EC:2.5.1.15]
* B113_G9_Unknown-B113_Guay9_scaffold_76835_97_B113_G9_Idunnarchaeota.fna_97_2    K19664   87.43  174.4   9.5e-53 CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]
* B113_G9_Unknown-B113_Guay9_scaffold_76835_97_B113_G9_Idunnarchaeota.fna_97_3    K13051  282.33  389.7  1.1e-117 L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
* B113_G9_Unknown-B113_Guay9_scaffold_79053_99_B113_G9_Idunnarchaeota.fna_99_1    K09738   71.47  156.5   1.7e-47 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_79053_99_B113_G9_Idunnarchaeota.fna_99_2    K03325  129.20  174.2   2.3e-52 arsenite transporter
* B113_G9_Unknown-B113_Guay9_scaffold_79053_99_B113_G9_Idunnarchaeota.fna_99_3    K00946  140.20  207.9   1.3e-62 thiamine-monophosphate kinase [EC:2.7.4.16]
* B113_G9_Unknown-B113_Guay9_scaffold_79166_100_B113_G9_Idunnarchaeota.fna_100_3  K01251   71.87  546.9  1.6e-165 adenosylhomocysteinase [EC:3.3.1.1]
* B113_G9_Unknown-B113_Guay9_scaffold_79166_100_B113_G9_Idunnarchaeota.fna_100_4  K00021  210.03  236.1   2.6e-71 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
* B113_G9_Unknown-B113_Guay9_scaffold_80220_101_B113_G9_Idunnarchaeota.fna_101_4  K07013   69.07  103.0     1e-30 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_81137_103_B113_G9_Idunnarchaeota.fna_103_1  K06929   74.80   77.7   4.7e-23 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_81137_103_B113_G9_Idunnarchaeota.fna_103_2  K07096   79.10  206.5     2e-62 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_81137_103_B113_G9_Idunnarchaeota.fna_103_3  K01069  120.57  125.8   1.1e-37 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* B113_G9_Unknown-B113_Guay9_scaffold_81308_105_B113_G9_Idunnarchaeota.fna_105_1  K03170  759.20 1149.0         0 reverse gyrase [EC:5.6.2.2 3.6.4.12]
* B113_G9_Unknown-B113_Guay9_scaffold_81567_106_B113_G9_Idunnarchaeota.fna_106_1  K07151  248.70  260.7   1.3e-78 dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
* B113_G9_Unknown-B113_Guay9_scaffold_81773_107_B113_G9_Idunnarchaeota.fna_107_3  K18855  294.57  354.1  3.9e-107 UDP-N-acetylglucosamine 3-dehydrogenase [EC:1.1.1.374]
* B113_G9_Unknown-B113_Guay9_scaffold_81773_107_B113_G9_Idunnarchaeota.fna_107_4  K22736   35.83   71.5   3.7e-21 vacuolar iron transporter family protein
* B113_G9_Unknown-B113_Guay9_scaffold_81823_108_B113_G9_Idunnarchaeota.fna_108_4  K03973   31.93  110.1   6.4e-33 phage shock protein C
* B113_G9_Unknown-B113_Guay9_scaffold_84647_110_B113_G9_Idunnarchaeota.fna_110_3  K00784   73.63  279.0     3e-84 ribonuclease Z [EC:3.1.26.11]
* B113_G9_Unknown-B113_Guay9_scaffold_84647_110_B113_G9_Idunnarchaeota.fna_110_4  K07446  152.27  254.2   1.2e-76 tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]
* B113_G9_Unknown-B113_Guay9_scaffold_85748_113_B113_G9_Idunnarchaeota.fna_113_3  K17993  379.03  385.0  2.8e-116 sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5]
* B113_G9_Unknown-B113_Guay9_scaffold_85894_114_B113_G9_Idunnarchaeota.fna_114_2  K01990  250.27  320.2   1.4e-96 ABC-2 type transport system ATP-binding protein
* B113_G9_Unknown-B113_Guay9_scaffold_85894_114_B113_G9_Idunnarchaeota.fna_114_2  K10822  138.23  138.8   8.4e-42 nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]
* B113_G9_Unknown-B113_Guay9_scaffold_85894_114_B113_G9_Idunnarchaeota.fna_114_3  K01992   19.00   20.7   8.5e-06 ABC-2 type transport system permease protein
* B113_G9_Unknown-B113_Guay9_scaffold_86451_115_B113_G9_Idunnarchaeota.fna_115_4  K03552   42.17  108.5   1.3e-32 holliday junction resolvase Hjr [EC:3.1.22.4]
* B113_G9_Unknown-B113_Guay9_scaffold_86636_116_B113_G9_Idunnarchaeota.fna_116_2  K06990  192.60  258.7   6.2e-78 MEMO1 family protein
* B113_G9_Unknown-B113_Guay9_scaffold_86636_116_B113_G9_Idunnarchaeota.fna_116_3  K00869  156.37  328.8   2.3e-99 mevalonate kinase [EC:2.7.1.36]
* B113_G9_Unknown-B113_Guay9_scaffold_86636_116_B113_G9_Idunnarchaeota.fna_116_4  K06981  116.20  183.1   3.9e-55 isopentenyl phosphate kinase [EC:2.7.4.26]
* B113_G9_Unknown-B113_Guay9_scaffold_86743_117_B113_G9_Idunnarchaeota.fna_117_2  K03057   89.30  113.8   3.5e-34 transcription factor S
* B113_G9_Unknown-B113_Guay9_scaffold_86743_117_B113_G9_Idunnarchaeota.fna_117_3  K04802   61.67  193.4   2.4e-58 proliferating cell nuclear antigen
* B113_G9_Unknown-B113_Guay9_scaffold_86743_117_B113_G9_Idunnarchaeota.fna_117_4  K18882  109.20  284.6   6.3e-86 DNA primase large subunit
* B113_G9_Unknown-B113_Guay9_scaffold_86781_118_B113_G9_Idunnarchaeota.fna_118_2  K01867  150.53  246.1   3.2e-74 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* B113_G9_Unknown-B113_Guay9_scaffold_86781_118_B113_G9_Idunnarchaeota.fna_118_3  K03738  267.83  373.8  1.1e-112 aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
* B113_G9_Unknown-B113_Guay9_scaffold_86781_118_B113_G9_Idunnarchaeota.fna_118_3  K08093  169.50  239.0   2.9e-72 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
* B113_G9_Unknown-B113_Guay9_scaffold_88372_120_B113_G9_Idunnarchaeota.fna_120_2  K00283  501.47  698.2  2.5e-211 glycine dehydrogenase subunit 2 [EC:1.4.4.2]
* B113_G9_Unknown-B113_Guay9_scaffold_88372_120_B113_G9_Idunnarchaeota.fna_120_3  K00282  415.17  478.9  6.3e-145 glycine dehydrogenase subunit 1 [EC:1.4.4.2]
* B113_G9_Unknown-B113_Guay9_scaffold_88526_121_B113_G9_Idunnarchaeota.fna_121_5  K00605  315.47  396.1  1.2e-119 aminomethyltransferase [EC:2.1.2.10]
* B113_G9_Unknown-B113_Guay9_scaffold_88897_122_B113_G9_Idunnarchaeota.fna_122_1  K01874  203.73  394.4  4.7e-119 methionyl-tRNA synthetase [EC:6.1.1.10]
* B113_G9_Unknown-B113_Guay9_scaffold_88897_122_B113_G9_Idunnarchaeota.fna_122_3  K01905  573.40  580.0  1.7e-175 acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]
* B113_G9_Unknown-B113_Guay9_scaffold_89245_123_B113_G9_Idunnarchaeota.fna_123_2  K22469  310.77  406.6  6.5e-123 probable ribonuclease FAU-1 [EC:3.1.26.-]
* B113_G9_Unknown-B113_Guay9_scaffold_89251_124_B113_G9_Idunnarchaeota.fna_124_1  K06001  406.27  595.8  6.6e-180 tryptophan synthase beta chain [EC:4.2.1.20]
* B113_G9_Unknown-B113_Guay9_scaffold_89251_124_B113_G9_Idunnarchaeota.fna_124_2  K07103  124.07  144.8   9.4e-44 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_89488_127_B113_G9_Idunnarchaeota.fna_127_2  K06928   70.30  166.0   4.1e-50 nucleoside-triphosphatase [EC:3.6.1.15]
* B113_G9_Unknown-B113_Guay9_scaffold_91020_128_B113_G9_Idunnarchaeota.fna_128_3  K14088  230.07  245.4   6.9e-75 ech hydrogenase subunit C
* B113_G9_Unknown-B113_Guay9_scaffold_91020_128_B113_G9_Idunnarchaeota.fna_128_3  K18023  211.03  215.0   1.3e-65 membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]
* B113_G9_Unknown-B113_Guay9_scaffold_91950_130_B113_G9_Idunnarchaeota.fna_130_3  K12234  169.90  312.6   2.5e-94 coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]
* B113_G9_Unknown-B113_Guay9_scaffold_92257_131_B113_G9_Idunnarchaeota.fna_131_2  K03719  129.53  162.7   5.6e-49 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* B113_G9_Unknown-B113_Guay9_scaffold_92919_135_B113_G9_Idunnarchaeota.fna_135_1  K01893  373.23  457.3  3.3e-138 asparaginyl-tRNA synthetase [EC:6.1.1.22]
* B113_G9_Unknown-B113_Guay9_scaffold_93247_136_B113_G9_Idunnarchaeota.fna_136_2  K22227  363.73  393.1  5.4e-119 AdoMet-dependent heme synthase [EC:1.3.98.6]
* B113_G9_Unknown-B113_Guay9_scaffold_93247_136_B113_G9_Idunnarchaeota.fna_136_3  K10947   61.17   92.4   1.8e-27 PadR family transcriptional regulator, regulatory protein PadR
* B113_G9_Unknown-B113_Guay9_scaffold_93880_138_B113_G9_Idunnarchaeota.fna_138_2  K22206  223.83  237.9   6.2e-72 XRE family transcriptional regulator, thiamine biosynthesis regulator
* B113_G9_Unknown-B113_Guay9_scaffold_93902_139_B113_G9_Idunnarchaeota.fna_139_2  K01754  251.97  473.7  5.2e-143 threonine dehydratase [EC:4.3.1.19]
* B113_G9_Unknown-B113_Guay9_scaffold_94073_140_B113_G9_Idunnarchaeota.fna_140_1  K18676  170.33  191.7   1.1e-57 glucosamine kinase [EC:2.7.1.8]
* B113_G9_Unknown-B113_Guay9_scaffold_94073_140_B113_G9_Idunnarchaeota.fna_140_2  K10773  135.20  173.7   2.6e-52 endonuclease III [EC:4.2.99.18]
* B113_G9_Unknown-B113_Guay9_scaffold_94073_140_B113_G9_Idunnarchaeota.fna_140_2  K07457  165.50  166.1     5e-50 endonuclease III related protein
* B113_G9_Unknown-B113_Guay9_scaffold_94073_140_B113_G9_Idunnarchaeota.fna_140_3  K01507   18.07  185.7   6.5e-56 inorganic pyrophosphatase [EC:3.6.1.1]
* B113_G9_Unknown-B113_Guay9_scaffold_95039_142_B113_G9_Idunnarchaeota.fna_142_2  K03709  117.37  122.4   1.1e-36 DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
* B113_G9_Unknown-B113_Guay9_scaffold_95135_143_B113_G9_Idunnarchaeota.fna_143_1  K07407   81.40  172.8   6.9e-52 alpha-galactosidase [EC:3.2.1.22]
* B113_G9_Unknown-B113_Guay9_scaffold_95202_144_B113_G9_Idunnarchaeota.fna_144_2  K06971   69.83  336.3  7.7e-102 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_95437_145_B113_G9_Idunnarchaeota.fna_145_1  K07333  100.80  126.0   7.2e-38 archaeal flagellar protein FlaJ
* B113_G9_Unknown-B113_Guay9_scaffold_95437_145_B113_G9_Idunnarchaeota.fna_145_2  K08963  429.93  471.4    2e-142 methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
* B113_G9_Unknown-B113_Guay9_scaffold_95437_145_B113_G9_Idunnarchaeota.fna_145_3  K04654  156.03  366.1  8.9e-111 hydrogenase expression/formation protein HypD
* B113_G9_Unknown-B113_Guay9_scaffold_95620_146_B113_G9_Idunnarchaeota.fna_146_2  K03167  329.33  578.7  7.1e-175 DNA topoisomerase VI subunit B [EC:5.6.2.2]
* B113_G9_Unknown-B113_Guay9_scaffold_95620_146_B113_G9_Idunnarchaeota.fna_146_3  K06961   66.13   96.1     1e-28 ribosomal RNA assembly protein
* B113_G9_Unknown-B113_Guay9_scaffold_95649_147_B113_G9_Idunnarchaeota.fna_147_2  K11130   28.67   43.0     2e-12 H/ACA ribonucleoprotein complex subunit 3
* B113_G9_Unknown-B113_Guay9_scaffold_95649_147_B113_G9_Idunnarchaeota.fna_147_3  K03237  106.23  214.0   1.6e-64 translation initiation factor 2 subunit 1
* B113_G9_Unknown-B113_Guay9_scaffold_95649_147_B113_G9_Idunnarchaeota.fna_147_4  K02978   33.27   65.8   1.5e-19 small subunit ribosomal protein S27e
* B113_G9_Unknown-B113_Guay9_scaffold_95649_147_B113_G9_Idunnarchaeota.fna_147_5  K02929   31.40   87.8   4.5e-26 large subunit ribosomal protein L44e
* B113_G9_Unknown-B113_Guay9_scaffold_96670_148_B113_G9_Idunnarchaeota.fna_148_1  K04656  149.40  396.7    8e-120 hydrogenase maturation protein HypF
* B113_G9_Unknown-B113_Guay9_scaffold_96670_148_B113_G9_Idunnarchaeota.fna_148_1  K01512   74.83   78.8   2.9e-23 acylphosphatase [EC:3.6.1.7]
* B113_G9_Unknown-B113_Guay9_scaffold_96670_148_B113_G9_Idunnarchaeota.fna_148_3  K07244  168.87  243.7   1.6e-73 mgtE-like transporter
* B113_G9_Unknown-B113_Guay9_scaffold_97308_149_B113_G9_Idunnarchaeota.fna_149_4  K17105  211.67  215.6   4.1e-65 geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]
* B113_G9_Unknown-B113_Guay9_scaffold_97447_150_B113_G9_Idunnarchaeota.fna_150_3  K07220   54.77  106.1   9.7e-32 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_97980_151_B113_G9_Idunnarchaeota.fna_151_1  K00927  107.70  279.7   2.2e-84 phosphoglycerate kinase [EC:2.7.2.3]
* B113_G9_Unknown-B113_Guay9_scaffold_98153_152_B113_G9_Idunnarchaeota.fna_152_2  K03058  100.33  128.1   4.5e-39 DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
